,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
EICHERMOT,2456.0,170682.92548859934,501149.770095732,91.0,20677.5,43579.0,103246.25,11491732.0,2456.0,140656665309539.9,192527595760766.62,18893560000.0,10100000000000.0,84700000000000.0,202000000000000.0,2650000000000000.0,2456.0,0.4959950325732899,0.2079282831080262,0.0402,0.34625,0.4925,0.6353,0.9924,2454.0,0.021252102756521198,0.017725965599397406,0.005163596673242543,0.015302167399823832,0.018774865215787577,0.022949711206071928,0.19895887191567546
GAIL,2456.0,4770330.53257329,7785467.601532441,13391.0,1027292.5,1897236.0,4606751.0,114715328.0,2456.0,102614033387622.16,109535726163659.06,486000000000.0,37700000000000.0,71550000000000.0,127000000000000.0,1650000000000000.0,2456.0,0.529563151465798,0.15569150929737421,0.0957,0.42,0.5409999999999999,0.646625,0.8866,2454.0,0.020457059123627944,0.011768224844498645,0.0038443034135255696,0.015112446678538564,0.01797641683893382,0.02128281799676364,0.11237740821615662
GRASIM,2456.0,811491.2377850163,1304619.7458527042,1118.0,58747.0,141631.5,1207949.5,25358922.0,2456.0,80611285016286.64,113401815379252.98,282000000000.0,17700000000000.0,42350000000000.0,110000000000000.0,2520000000000000.0,2456.0,0.4739394136807817,0.16767405375717143,0.0631,0.351875,0.47425,0.600375,0.9346,2454.0,0.018502667294908244,0.016482603236613505,0.005178138581317835,0.012650719641990028,0.015594364098070631,0.01967752778966111,0.17512687842666605
HCLTECH,2456.0,2273375.0044788276,2665366.427985723,14102.0,956116.5,1423949.5,2391477.5,32312531.0,2456.0,194635939332247.56,219959604371451.8,719000000000.0,82700000000000.0,135000000000000.0,219250000000000.0,2530000000000000.0,2456.0,0.5868734527687296,0.12991144135274016,0.107,0.510775,0.599,0.6784250000000001,0.9371,2454.0,0.01882472825392126,0.013728765440434186,0.0008960345994113784,0.012861468768263613,0.0162426995324707,0.019992373581916967,0.11304223646895988
HDFC,2456.0,3247656.8709283387,3836450.012205218,21856.0,2002880.0,2711460.5,3702827.25,158414118.0,2456.0,465195964983713.4,433182765685912.94,1480000000000.0,213000000000000.0,339000000000000.0,578000000000000.0,1.04e+16,2456.0,0.6672942996742671,0.11027628893973507,0.2247,0.6018749999999999,0.68365,0.7466,0.9411,2454.0,0.01691710942894426,0.007411559544755275,0.0068439699873831415,0.012377258845572645,0.01567582391476577,0.0192966679072214,0.07130671650479657
HDFCBANK,2456.0,3931527.3676710096,5239172.045658803,46322.0,1343126.25,2173722.5,3937253.75,100564990.0,2456.0,457372609934853.44,633986764964225.9,2520000000000.0,135000000000000.0,205000000000000.0,516000000000000.0,1.43e+16,2456.0,0.5852053745928338,0.11504760369388334,0.1852,0.5119750000000001,0.5964,0.667325,0.8727,2454.0,0.01544159063857087,0.018634098627592723,0.0045434311275598105,0.009135640265705772,0.011482046832561469,0.015410333651192319,0.17586402213518204
HEROHONDA,1.0,238865.0,,238865.0,238865.0,238865.0,238865.0,238865.0,1.0,44432221660000.0,,44432221660000.0,44432221660000.0,44432221660000.0,44432221660000.0,44432221660000.0,1.0,0.4034,,0.4034,0.4034,0.4034,0.4034,0.4034,0.0,,,,,,,
HEROMOTOCO,1.0,446162.0,,446162.0,446162.0,446162.0,446162.0,446162.0,1.0,81500115170000.0,,81500115170000.0,81500115170000.0,81500115170000.0,81500115170000.0,81500115170000.0,1.0,0.5704,,0.5704,0.5704,0.5704,0.5704,0.5704,0.0,,,,,,,
HINDALCO,1.0,5579947.0,,5579947.0,5579947.0,5579947.0,5579947.0,5579947.0,1.0,109906239700000.0,,109906239700000.0,109906239700000.0,109906239700000.0,109906239700000.0,109906239700000.0,1.0,0.4237,,0.4237,0.4237,0.4237,0.4237,0.4237,0.0,,,,,,,
HINDUNILVR,2456.0,1878990.2308631921,4048176.6785938353,18757.0,959030.5,1420674.0,2123247.25,185670048.0,2456.0,220288084357084.7,766363691587890.5,782491000000.0,75455275000000.0,122256500000000.0,237703000000000.0,3.56e+16,2456.0,0.6159862377850163,0.11560785111859628,0.1842,0.5432,0.6218,0.695075,0.9587,2454.0,0.013945179803087017,0.006428812600756302,0.0029209925442629917,0.010346446886566059,0.012565035791247462,0.015593075797514648,0.058829981708567014
