Date,Symbol,Actual,ARIMA_Forecast,SARIMA_Forecast
2020-11-02,ADANIPORTS,0.0197753917135462,0.021256683097423294,0.0212767678842385
2020-11-03,ADANIPORTS,0.0197933165283689,0.021298772541447755,0.02117282832010435
2020-11-04,ADANIPORTS,0.0187141446398609,0.021339596742764234,0.02108703007046626
2020-11-05,ADANIPORTS,0.0191989179047719,0.021379193735591218,0.02102140974276896
2020-11-06,ADANIPORTS,0.0192140975676615,0.021417600410807848,0.020969814310226126
2020-11-09,ADANIPORTS,0.0193189759032379,0.021454852550323616,0.020882211191467392
2020-11-10,ADANIPORTS,0.0193254373052672,0.021490984860414893,0.02082492519066099
2020-11-11,ADANIPORTS,0.0187362169199848,0.021526031004059327,0.02072594727367813
2020-11-12,ADANIPORTS,0.0188998654871745,0.021560023632298253,0.02066271852783336
2020-11-13,ADANIPORTS,0.0184635700139444,0.02159299441465631,0.02058559265566771
2020-11-14,ADANIPORTS,0.0180164632533147,0.021624974068646628,0.02053608481856595
2020-11-17,ADANIPORTS,0.0193918575613948,0.021655992388389063,0.020478108073511317
2020-11-18,ADANIPORTS,0.0201892653707442,0.021686078272368146,0.020354655746379166
2020-11-19,ADANIPORTS,0.0209256538349298,0.021715259750356607,0.020255512769035023
2020-11-20,ADANIPORTS,0.0213146094451459,0.021743564009529544,0.020173476289909984
2020-11-23,ADANIPORTS,0.0210777870830667,0.02177101741979361,0.020110466219409297
2020-11-24,ADANIPORTS,0.0231316007822858,0.02179764555835473,0.02006068202663816
2020-11-25,ADANIPORTS,0.0233040931395937,0.021823473233547365,0.019976957532574106
2020-11-26,ADANIPORTS,0.0224659397582661,0.02184852450794738,0.01992181770533231
2020-11-27,ADANIPORTS,0.0207216678433465,0.021872822720790153,0.019827378967638563
2020-12-01,ADANIPORTS,0.0191220543478586,0.021896390509714796,0.019766645707196353
2020-12-02,ADANIPORTS,0.0195467951717813,0.021919249831854684,0.019692815898549588
2020-12-03,ADANIPORTS,0.0193847939603294,0.021941421984294013,0.019645026238142987
2020-12-04,ADANIPORTS,0.0204114523509967,0.02196292762390942,0.019589257225248114
2020-12-07,ADANIPORTS,0.0212260139272166,0.021983786786615125,0.01947176814175763
2020-12-08,ADANIPORTS,0.0221500389605983,0.02200401890602958,0.019377200028267462
2020-12-09,ADANIPORTS,0.0217083190195213,0.022023642831580956,0.019298762675352767
2020-12-10,ADANIPORTS,0.0215377591985447,0.022042676846068372,0.01923826598288492
2020-12-11,ADANIPORTS,0.0220712944383011,0.022061138682695235,0.019190241721800665
2020-12-14,ADANIPORTS,0.0216825372943144,0.022079045541590517,0.019110225896985602
2020-12-15,ADANIPORTS,0.0213045379138801,0.022096414105833417,0.019057161337952478
2020-12-16,ADANIPORTS,0.0213634314694527,0.022113260556996285,0.018967053573262754
2020-12-17,ADANIPORTS,0.0215093980163076,0.022129600590220327,0.0189087244750444
2020-12-18,ADANIPORTS,0.0214111627183082,0.02214544942883812,0.018838053339262955
2020-12-21,ADANIPORTS,0.0230043240439851,0.02216082183855655,0.018791934662997344
2020-12-22,ADANIPORTS,0.0245487983644313,0.022175732141213433,0.01873829794262128
2020-12-23,ADANIPORTS,0.0244232926985091,0.022190194228120557,0.018626481306728244
2020-12-24,ADANIPORTS,0.0231664169854266,0.02220422157300565,0.018536276604427616
2020-12-28,ADANIPORTS,0.0231068669371542,0.022217827244565287,0.018461282628504962
2020-12-29,ADANIPORTS,0.0227911420727884,0.022231023918640472,0.018403205571689327
2020-12-30,ADANIPORTS,0.0227842440878523,0.022243823890026174,0.01835689046959132
2020-12-31,ADANIPORTS,0.0223553339346699,0.022256239083925895,0.018280420700777265
2021-01-01,ADANIPORTS,0.0228747874389638,0.022268281067061874,0.01822936218145284
2021-01-04,ADANIPORTS,0.0230118174103601,0.022279961058451335,0.018143386735761276
2021-01-05,ADANIPORTS,0.0216394361398384,0.022291289939858773,0.018087373341780285
2021-01-06,ADANIPORTS,0.0202334672084759,0.022302278265934044,0.01801972900189186
2021-01-07,ADANIPORTS,0.020812246722148,0.022312936274045705,0.017975234472547577
2021-01-08,ADANIPORTS,0.0207932196668713,0.022323273893818735,0.01792365658785202
2021-01-11,ADANIPORTS,0.0211996933144338,0.022333300756385562,0.017817235933439163
2021-01-12,ADANIPORTS,0.020963018061293,0.022343026203358988,0.017731192983015034
2021-01-13,ADANIPORTS,0.0231314810455835,0.022352459295535376,0.017659493245963432
2021-01-14,ADANIPORTS,0.0230059077166911,0.02236160882133624,0.01760374515009928
2021-01-15,ADANIPORTS,0.0235058348180813,0.022370483304996035,0.017559089049173214
2021-01-18,ADANIPORTS,0.0238856498266272,0.02237909101450383,0.017486009754412564
2021-01-19,ADANIPORTS,0.0244285614480684,0.02238743996930627,0.01743688973640079
2021-01-20,ADANIPORTS,0.023410699304945,0.022395537947778942,0.017354857069610794
2021-01-21,ADANIPORTS,0.0220648231108913,0.02240339249447319,0.01730107373138841
2021-01-22,ADANIPORTS,0.0229713166918059,0.02241101092714503,0.01723632961625957
2021-01-25,ADANIPORTS,0.0236903642926186,0.022418400343572828,0.017193412839214696
2021-01-27,ADANIPORTS,0.0238328969138913,0.022425567628169992,0.017143822309767947
2021-01-28,ADANIPORTS,0.0238269802389531,0.0224325194583989,0.017042534786450753
2021-01-29,ADANIPORTS,0.0242948390256719,0.022439262310992008,0.01696046126723589
2021-02-01,ADANIPORTS,0.0277671956624529,0.022445802467985967,0.01689191296922581
